id,gender,age,pref,education,pid,ability_1,ability_2,ability_3,ability_4,ability_5,ability_6,priority,performance1_1,performance1_2,performance1_3,performance1_4,performance1_5
1,Male,25,Ishikawa,4,33,2,3,2,2,2,2,5,2,2,2,2,2
2,Male,36,Saitama,3,33,2,2,3,3,4,4,1,4,4,2,4,3
3,Male,48,Yamanashi,2,33,99,99,99,99,99,99,99,99,99,99,99,99
4,Female,20,Hokkaido,4,99,3,4,2,3,3,3,1,3,1,4,3,2
5,Male,42,Chiba,2,3,1,3,1,4,4,4,1,4,4,4,4,4
6,Female,30,Aomori,2,33,4,4,4,4,4,4,3,3,3,4,3,2
7,Male,28,Osaka,4,33,4,99,99,4,99,99,1,3,2,2,3,3
8,Male,46,Gifu,4,33,1,3,3,4,4,2,4,4,3,2,4,4
9,Male,50,Tokyo,4,33,3,3,3,3,3,3,1,4,4,3,3,3
10,Male,65,Hyogo,2,6,2,4,4,4,4,1,1,4,4,2,2,2
11,Male,53,Osaka,4,33,4,4,4,4,4,4,5,4,4,4,4,4
12,Male,52,Chiba,4,99,99,3,99,99,99,99,1,99,3,99,3,99
13,Male,38,Kanagawa,1,1,2,3,3,2,4,3,3,3,3,3,2,2
14,Male,35,Kanagawa,4,1,2,4,3,3,4,99,1,2,3,2,2,2
15,Male,56,Tokyo,2,33,2,3,4,4,4,3,4,3,4,3,4,4
16,Male,22,Iwate,2,33,2,2,4,4,4,4,4,4,4,4,4,4
17,Female,50,Aichi,2,33,1,99,99,99,4,99,1,2,2,2,2,99
18,Male,49,Kanagawa,4,2,2,2,2,3,4,3,4,4,4,2,2,4
19,Male,44,Saitama,3,33,4,4,4,4,4,4,4,4,3,4,4,4
20,Male,42,Miyagi,4,2,2,4,4,3,4,2,3,3,3,2,2,2
21,Male,44,Tochigi,4,33,2,4,4,4,4,4,1,4,3,1,2,4
22,Male,45,Niigata,3,2,1,2,3,4,3,3,4,3,2,2,3,3
23,Male,49,Kyoto,2,33,2,3,3,3,3,3,3,4,4,4,4,4
24,Male,39,Aichi,4,1,3,99,4,2,4,2,99,3,3,3,4,4
25,Male,39,Chiba,2,33,99,4,4,4,4,4,99,99,99,2,99,99
26,Male,43,Nara,3,33,4,4,4,4,4,4,11,4,4,4,4,4
27,Male,43,Chiba,3,33,99,99,99,99,99,99,99,99,99,99,99,99
28,Female,34,Ibaraki,4,33,4,3,3,4,4,2,4,4,4,2,4,4
29,Male,40,Mie,1,33,2,3,3,3,4,3,1,3,3,2,2,3
30,Female,47,Kanagawa,2,33,4,4,4,4,4,4,4,4,4,4,4,4
31,Male,36,Toyama,2,1,2,3,3,2,4,2,4,3,2,2,4,3
32,Male,44,Hokkaido,4,33,2,4,4,4,4,3,1,4,4,3,4,4
33,Male,55,Tokyo,4,33,2,4,3,3,4,3,1,2,3,1,99,3
34,Female,23,Kanagawa,2,33,2,2,2,3,3,3,3,4,4,3,4,4
35,Male,48,Chiba,4,1,1,4,2,1,4,3,1,2,2,1,2,2
36,Female,53,Osaka,3,6,3,3,3,4,2,2,4,4,3,3,4,4
37,Female,37,Wakayama,4,6,2,3,3,2,4,2,1,3,4,2,2,4
38,Male,43,Osaka,2,11,3,2,3,4,2,4,1,4,4,3,4,4
39,Female,40,Aichi,2,33,1,2,2,2,2,2,3,3,3,2,4,4
40,Male,37,Kyoto,4,1,1,3,4,2,99,2,1,1,1,1,1,4
41,Male,45,Saitama,2,33,2,4,3,3,4,3,1,3,3,2,4,3
42,Female,30,Shizuoka,2,33,4,3,3,3,3,2,3,3,2,3,3,2
43,Female,43,Shizuoka,2,1,1,4,99,4,4,2,1,3,99,2,3,99
44,Male,36,Tokyo,4,1,2,4,4,3,3,2,1,3,3,2,3,3
45,Female,34,Hokkaido,2,99,99,99,99,99,99,99,99,99,99,99,99,99
46,Male,54,Saitama,4,2,1,2,4,3,4,4,3,4,4,4,4,4
47,Other,38,Kanagawa,2,1,1,4,4,4,4,4,1,2,2,2,2,2
48,Male,36,Tokyo,4,1,2,4,3,3,4,4,1,4,3,2,3,3
49,Female,52,Tokyo,4,33,2,3,3,4,4,4,1,4,3,2,3,4
50,Female,52,Saitama,2,6,2,2,3,2,99,2,4,4,4,4,4,4
51,Male,51,Saitama,4,6,2,3,3,3,3,3,1,2,2,2,2,2
52,Male,59,Mie,4,33,2,3,3,3,3,3,3,3,3,3,3,3
53,Male,37,Kumamoto,4,33,1,2,3,2,3,2,3,2,3,2,3,2
54,Female,39,Akita,4,99,2,4,4,3,99,3,1,2,3,3,3,4
55,Male,60,Tokyo,4,33,1,3,3,2,4,3,1,3,3,2,3,2
56,Male,48,Kyoto,2,5,2,2,3,2,99,4,4,4,4,99,99,4
57,Male,62,Kyoto,4,1,1,4,2,3,4,2,1,2,2,2,3,4
58,Male,39,Shizuoka,2,33,2,3,3,2,4,4,1,3,3,3,4,4
59,Male,59,Aichi,4,33,99,4,99,4,4,99,4,4,4,4,4,4
60,Male,63,Akita,4,1,1,4,4,3,4,2,4,3,3,3,3,3
61,Male,52,Kanagawa,3,33,2,3,4,3,4,2,1,4,4,3,3,3
62,Female,62,Hokkaido,2,33,99,99,99,99,99,99,1,4,4,2,99,99
63,Female,56,Osaka,3,6,1,4,3,4,4,1,1,4,4,2,2,4
64,Male,43,Saitama,3,1,2,4,4,4,4,3,1,4,3,2,4,4
65,Male,43,Kyoto,4,1,1,4,4,2,4,2,1,3,3,1,2,4
66,Female,24,Hokkaido,4,99,99,99,99,99,99,99,99,99,99,99,99,99
67,Male,40,Okinawa,2,1,2,4,4,3,4,2,1,3,3,3,4,3
68,Female,55,Osaka,3,33,4,3,4,4,4,3,4,4,4,3,4,4
69,Male,36,Osaka,4,33,3,3,4,4,4,2,3,4,3,4,3,4
70,Male,52,Shizuoka,2,33,2,4,4,4,3,1,4,4,4,4,4,3
71,Male,48,Saitama,4,1,2,4,3,3,4,2,3,2,2,2,2,2
72,Female,40,Hiroshima,1,33,2,4,4,3,4,2,1,3,3,1,3,2
73,Male,28,Saitama,4,99,1,1,2,2,2,2,3,2,3,2,3,2
74,Female,40,Aichi,4,33,2,2,2,99,99,3,4,4,3,3,4,99
75,Male,45,Hokkaido,4,6,2,3,3,2,2,3,4,4,2,4,3,1
76,Male,48,Toyama,2,33,1,4,4,3,4,4,4,4,4,4,4,4
77,Male,43,Tokyo,4,1,1,4,4,2,4,4,1,1,2,1,2,3
78,Male,56,Saitama,4,1,2,4,3,2,4,2,4,4,3,2,3,4
79,Male,44,Osaka,4,1,1,4,2,3,4,2,1,2,2,2,1,2
80,Male,32,Aichi,3,1,2,4,2,2,4,3,1,3,2,2,2,3
81,Male,63,Tokushima,4,33,99,4,99,99,99,99,4,99,99,99,99,99
82,Male,37,Kanagawa,2,33,2,3,4,2,3,4,4,3,3,2,3,4
83,Female,47,Kagoshima,4,33,2,2,3,2,3,2,5,3,3,2,4,3
84,Female,47,Osaka,3,6,4,4,4,4,4,2,1,4,4,4,4,4
85,Male,41,Osaka,3,6,1,2,3,2,4,2,1,3,3,2,2,3
86,Male,36,Chiba,4,33,3,4,4,4,4,4,5,4,4,4,4,4
87,Female,72,Kagoshima,4,2,2,2,3,2,4,2,1,4,4,2,4,4
88,refuse,55,Kanagawa,4,1,2,4,3,2,4,2,1,3,3,3,4,2
89,Male,55,Fukui,3,6,1,4,4,4,4,3,1,4,4,3,3,4
90,Female,44,Tokyo,3,99,1,4,3,3,3,3,1,4,4,2,2,4
91,Male,36,Hokkaido,4,6,2,3,3,2,3,2,3,4,4,2,4,4
92,Female,35,Hokkaido,3,6,2,3,3,4,4,2,1,4,4,2,3,4
93,Male,37,Kanagawa,2,11,4,4,4,4,2,2,1,4,4,4,4,4
94,Male,41,Miyagi,4,33,2,2,3,2,4,3,11,4,3,2,4,4
95,Male,50,Hiroshima,2,33,99,99,99,99,99,99,1,4,4,3,3,4
96,Female,46,Niigata,2,2,1,2,3,2,3,3,1,3,4,3,3,4
97,Female,36,Shimane,2,1,2,2,2,2,3,2,3,99,3,99,2,99
98,Male,41,Hokkaido,4,33,1,3,3,2,4,2,1,3,3,2,3,99
99,Male,60,Hyogo,4,33,2,3,4,4,4,3,3,3,99,2,3,99
100,Male,55,Tokyo,4,1,2,4,3,4,4,3,1,2,2,2,2,2
101,Male,35,Yamagata,3,1,2,2,3,2,3,3,1,2,2,2,2,4
102,Female,29,Hiroshima,3,6,2,3,3,3,3,2,3,3,3,2,4,3
103,Female,37,Chiba,3,6,2,3,2,4,4,2,3,4,99,3,3,3
104,Male,58,Aichi,4,7,1,2,3,2,3,3,4,3,3,2,2,3
105,Male,42,Tochigi,4,33,2,4,4,99,4,2,1,3,3,2,2,4
106,Male,50,Fukuoka,4,3,1,4,4,4,4,4,4,4,4,3,4,2
107,Female,62,Fukuoka,3,33,2,4,4,3,4,3,1,2,3,2,3,3
108,Male,41,Akita,4,6,2,3,2,3,3,2,1,2,2,2,2,2
109,Male,47,Chiba,4,6,4,4,2,4,4,1,1,4,4,3,4,4
110,Male,25,Miyagi,1,33,4,4,4,4,4,4,4,4,4,4,4,4
111,Female,57,Hyogo,3,33,1,4,4,4,4,2,3,2,2,1,1,2
112,Male,50,Saitama,3,33,3,3,4,4,4,4,3,4,4,3,4,3
113,Male,30,Tokyo,4,33,1,4,3,2,3,2,1,3,3,2,3,2
114,Male,53,Osaka,4,6,2,4,4,3,4,3,3,3,3,2,3,2
115,Female,38,Kanagawa,4,3,2,4,4,4,4,3,1,4,4,1,4,4
116,Male,51,Hokkaido,4,6,2,3,4,4,4,2,3,3,3,4,3,3
117,Male,65,Saitama,4,1,2,3,3,3,4,2,1,2,2,2,3,3
118,Male,59,Kanagawa,4,2,1,1,4,4,4,4,4,4,4,2,4,4
119,Male,57,Nara,2,6,4,4,4,3,4,1,4,4,4,4,4,4
120,Male,45,Fukushima,4,6,1,2,3,4,3,2,4,4,3,1,4,2
121,Female,64,Kanagawa,4,2,1,2,3,2,3,2,3,2,3,2,3,3
122,refuse,22,Hokkaido,2,33,4,2,3,2,2,2,99,3,2,4,3,2
123,Male,36,Oita,4,1,1,3,2,3,3,3,3,2,3,2,2,2
124,Female,46,Kanagawa,2,33,2,4,4,2,99,2,1,2,3,2,3,3
125,Male,54,Osaka,2,33,2,3,3,4,4,3,4,4,4,2,4,3
126,Male,37,Tokyo,2,33,2,4,4,4,4,3,4,4,4,2,4,3
127,Male,59,Tokyo,4,1,2,3,3,4,3,3,2,4,4,2,4,4
128,Female,38,Miyagi,4,33,4,3,3,2,3,2,4,4,4,4,4,4
129,Male,42,Ibaraki,2,4,1,4,3,2,4,3,1,2,2,2,2,1
130,Male,55,Kyoto,4,1,4,4,4,4,4,4,3,4,2,3,3,4
131,Female,47,Osaka,4,6,2,4,4,4,4,2,3,3,3,2,4,2
132,Female,54,Osaka,4,33,3,3,3,3,3,4,1,3,4,2,3,3
133,Male,51,Nara,2,6,2,3,3,3,4,2,11,4,4,3,4,4
134,Male,22,Ibaraki,4,1,2,4,2,4,4,3,1,3,4,2,1,2
135,Male,41,Ibaraki,2,33,2,4,2,4,4,2,4,2,3,3,2,2
136,Female,38,Kanagawa,4,1,2,3,3,3,3,2,1,2,99,99,2,4
137,Male,40,Ibaraki,2,33,2,3,3,3,3,3,99,2,3,2,3,2
138,Male,56,Kanagawa,4,33,2,4,4,4,4,2,1,4,4,4,4,4
139,Male,37,Hokkaido,2,1,2,4,3,4,4,3,1,3,3,2,3,4
140,Female,40,Nagano,3,33,2,99,99,4,99,99,1,3,3,3,3,3
141,Female,49,Hokkaido,2,33,2,3,3,3,3,3,4,4,4,99,4,99
142,Male,52,Miyagi,4,33,2,3,3,3,3,3,4,4,4,4,4,4
143,Male,60,Miyazaki,3,33,2,3,99,3,4,4,3,3,3,2,3,3
144,Female,34,Kanagawa,4,33,4,4,4,4,4,4,1,4,4,4,4,99
145,Male,60,Saitama,2,1,2,4,3,3,4,2,4,2,2,1,2,2
146,Female,32,Hyogo,2,33,4,4,4,4,4,4,1,99,4,2,4,4
147,Male,47,Osaka,1,6,4,4,4,4,4,4,3,2,4,4,4,4
148,Female,38,Kanagawa,2,5,2,3,2,3,3,2,1,4,3,4,4,99
149,Male,66,Hokkaido,2,1,1,3,3,3,4,3,1,3,3,2,2,3
150,Other,48,Saitama,4,33,1,3,4,4,4,3,5,3,3,2,2,4
151,Male,47,Hyogo,4,33,4,4,4,4,4,4,1,4,4,4,4,4
152,Male,44,Kyoto,2,33,1,4,4,4,4,4,1,99,99,99,99,99
153,Male,43,Osaka,4,33,2,4,3,2,4,2,4,3,3,2,3,2
154,Male,41,Kagoshima,2,33,99,99,99,99,99,99,1,4,4,3,3,3
155,Male,45,Kanagawa,2,33,3,3,3,3,4,3,11,4,4,2,4,3
156,Male,46,Kanagawa,4,1,2,3,4,3,4,4,3,3,3,2,4,3
157,Female,42,Aichi,3,33,2,2,3,3,3,2,4,4,4,2,4,3
158,Female,33,Kanagawa,4,1,1,4,3,3,4,2,1,3,99,2,2,3
159,Male,39,Gifu,4,1,1,4,2,2,4,2,1,2,2,2,2,2
160,Male,45,Osaka,4,6,1,4,3,3,4,2,1,2,2,1,2,2
161,Male,46,Kanagawa,4,6,3,4,4,4,4,4,1,4,4,4,4,4
162,Female,29,Yamanashi,4,6,2,3,3,3,4,2,1,2,2,2,3,2
163,Female,49,Aichi,2,33,2,2,3,3,4,3,99,4,4,4,4,99
164,Female,33,Tokyo,4,1,1,2,3,3,3,3,3,3,4,3,3,3
165,Female,28,Tokyo,2,1,1,4,4,4,4,3,1,3,1,1,2,99
166,Male,43,Tokyo,4,33,2,4,3,3,3,2,1,4,4,3,3,4
167,Male,40,Aichi,4,1,2,4,4,3,4,3,1,3,2,1,2,2
168,Male,40,Saitama,4,1,1,4,2,3,4,1,1,2,4,3,2,3
169,Male,24,Shiga,2,6,2,3,3,4,4,2,11,3,3,2,4,4
170,Male,47,Gunma,2,33,1,4,2,1,4,2,4,99,99,99,99,99
171,Male,48,Shiga,4,33,1,4,4,4,4,4,2,2,2,1,2,2
172,Female,46,Tokyo,4,33,2,2,2,4,4,2,1,4,4,3,3,99
173,Female,39,Akita,4,6,1,2,3,1,3,2,1,4,4,1,3,3
174,Male,44,Miyagi,4,2,3,2,4,4,2,4,4,4,4,4,4,3
