id,gender,age,pref,education,pid,ability_1,ability_2,ability_3,ability_4,ability_5,ability_6,priority,performance1_1,performance1_2,performance1_3,performance1_4,performance2_1,performance2_2,performance2_3,performance2_4
1,Male,48,Yamanashi,2,33,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2,Female,34,Kanagawa,4,33,4,4,4,4,4,4,1,4,4,4,4,4,4,4,99
3,Other,25,Ishikawa,4,33,3,3,99,4,4,4,1,3,4,4,4,4,4,3,3
4,Male,73,Akita,2,6,1,3,2,3,2,2,5,2,3,4,1,3,3,2,3
5,Male,44,Saitama,3,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,Male,47,Niigata,3,2,4,1,3,4,2,4,1,4,4,4,4,4,4,4,4
7,Male,43,Nara,3,33,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
8,Female,49,Ehime,3,33,3,3,3,4,3,3,1,4,4,4,4,99,99,99,4
9,Female,20,Hokkaido,4,99,99,99,4,2,4,3,99,3,4,99,3,99,3,4,99
10,Male,55,Tokyo,4,1,2,4,4,4,4,4,1,3,2,2,2,2,2,2,2
11,Male,42,Ibaraki,2,4,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2
12,Male,48,Tokyo,2,33,2,4,99,99,99,99,1,3,2,2,3,3,2,2,3
13,Female,47,Osaka,3,6,4,4,4,4,4,3,1,4,4,4,4,4,4,4,4
14,Female,50,Aichi,2,33,2,99,4,4,4,4,3,99,2,99,99,4,2,2,99
15,Female,44,Kyoto,4,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
16,Male,40,Okinawa,4,1,2,4,3,99,4,3,1,2,1,1,1,4,1,1,1
17,Male,55,Fukui,3,6,1,4,4,4,4,2,1,3,3,2,2,4,2,2,3
18,Male,45,Niigata,3,2,1,2,3,4,4,4,1,3,4,4,4,4,3,4,4
19,Male,50,Hiroshima,3,33,2,4,99,99,3,4,3,4,4,4,4,4,4,4,4
20,Male,62,Kyoto,4,1,1,4,4,3,4,4,1,2,2,2,2,2,2,2,3
21,Male,41,Saitama,4,2,4,1,1,4,1,4,3,4,4,4,4,4,4,4,4
22,Female,37,Aichi,4,33,2,99,99,99,99,99,3,2,2,2,3,3,2,1,3
23,Male,51,Saitama,3,1,1,4,4,3,4,4,3,4,3,3,4,2,2,2,3
24,Male,47,Chiba,4,33,4,2,3,4,2,3,1,4,4,4,4,4,4,4,4
25,Male,21,Tokyo,3,1,2,4,3,4,4,2,1,4,2,1,2,3,2,1,2
26,Male,38,Hokkaido,2,33,2,4,4,4,4,3,4,3,4,4,2,3,4,4,2
27,Male,65,Hyogo,2,6,3,4,4,4,4,1,1,4,3,4,4,4,2,2,4
28,Male,41,Tokyo,4,1,2,4,3,3,4,2,4,2,2,2,3,3,2,2,3
29,Female,39,Akita,4,1,2,4,99,4,99,3,1,3,3,2,4,4,2,2,4
30,Male,43,Aichi,4,6,2,4,4,4,4,1,3,4,3,3,4,4,2,4,4
31,Female,33,Saitama,4,33,3,3,3,3,3,3,3,4,4,2,2,4,4,2,3
32,Male,49,Osaka,2,99,1,4,99,1,99,99,99,99,99,99,4,99,99,99,99
33,Male,57,Tokyo,4,33,1,3,4,3,4,3,1,4,2,4,4,4,4,4,4
34,Male,34,Chiba,4,2,3,2,3,4,3,2,5,4,4,4,4,4,4,4,4
35,Male,39,Chiba,2,33,2,4,4,2,4,4,1,4,3,1,3,4,3,1,3
36,Female,49,Hokkaido,2,99,2,2,2,3,3,3,1,4,4,99,2,4,3,99,3
37,Male,48,Aichi,2,7,3,3,3,2,3,3,5,3,2,3,2,4,2,3,3
38,Male,53,Akita,4,1,2,4,99,3,4,4,3,3,2,2,3,3,3,2,2
39,Male,65,Fukuoka,4,1,1,3,4,3,4,3,1,2,2,1,3,2,2,2,3
40,Male,51,Yamanashi,4,4,1,3,4,2,4,4,4,2,2,3,3,3,3,3,3
41,Male,61,Okayama,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
42,Male,52,Osaka,4,6,1,4,3,2,4,2,3,3,4,3,2,3,3,4,2
43,Male,40,Tokyo,4,1,2,4,99,3,4,2,3,2,2,1,2,2,2,1,2
44,Female,60,Aichi,2,33,2,3,2,3,4,3,3,3,3,2,99,3,3,2,99
45,Female,46,Chiba,4,33,2,4,4,4,4,4,1,4,3,3,4,4,4,4,4
46,Female,58,Tokyo,3,33,4,4,4,4,4,4,4,4,4,99,4,4,4,99,4
47,Female,47,Kagoshima,4,33,2,2,3,2,3,2,3,3,4,2,3,3,3,2,3
48,Male,42,Kanagawa,2,3,1,3,3,3,3,3,1,4,4,2,4,4,4,2,4
49,Female,52,Kanagawa,3,1,3,3,3,3,3,3,1,3,2,2,3,3,2,3,3
50,Male,50,Hokkaido,4,2,1,1,3,4,3,3,3,3,2,2,3,3,2,2,3
